document_id,clean_test,sentiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""Hugh Jackman is the perfect Wolverine. What a fun movie. I like the dialogue and clever quips with f bombs sprinkled in. It's definitely not taking itself too seriously. There is tons of fun cameos I didn't expect! I normally watch spoiler videos ahead of time, but I didn't on this occasion and I'm glad I didn't because there was some oh snap moments! It's a very good action packed fun film. The breaking the Fox jokes and speaking to the camera jokes are too funny. I can definitely see more sequels for these two on the horizon. They are promoting this movie hard I just watched these two on Hot Ones eating chicken wings They make a dynamic duo. Until your 90 Wolverine ...until your 90 lol.""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"""What a crazy blast ! Bonkers !!Sooo !...",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"What I can say about this movie is that they (the whole team behind the movie) never hesitated a second to go all in, with everything they have in stores, throwing the kitchen sink in there and everything else.What's to love is how highly satisfying the movie is from the very first to the very last second, when it comes to all the little (or not so little) winks at the audience, especially if you connect with the characters and their previous iterations...But what you can really appreciate and which makes the entire movie (and scenes / story bits) more enjoyable is the whole emotional layer of it and really fun connections that occur (the come-back or introduction of various characters was so well done and really great to see) ...These guys clearly know what they are doing.Between the one-liners and the endless flow of jokes... The chemistry between Ryan Reynolds and Hugh Jackman knocks it out of the park !It is so overflowingly cray-cray and the frame is oh so overfilled with stuffs...Oh, and the tone of the movie is something else !The intro sequence is a masterpiece... The """"corridor"""" type of fight scene (that's in fact in a street) around the end the movie, it's just...a banquet of madness.Plus, the soundtrack is -like in the previous movies- super satisfying.I am quite excited for what there is to come next in the MCU and for these characters we've seen in this movie...""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"""We've waited so long for this moment, and it was beyond fun, wholesome, full of surprises, emotional and epic! Ryan Reynolds, Hugh Jackman and Shawn Levy pour out their hearts for this movie to be what is it.It's beyond the MCU timeline, it's beyond even FOX's """"X-Men"""" movies. It's about all the kids who grew up with these movies and these characters. The kids, who are now adults, but still love every bit of it.You know it's going to be fun with these two, but man... I laughed so hard, even my stomach was feeling it. And the jokes... be sure this is not Deadpool watered down in the MCU, it's Deadpool at its best. The inevitable bromance unveiled before our eyes. The story is fine, nothing special, but you feel it, and knowing the past knowledge about these characters and their respective universes makes everything hit the emotions.What about the cameos, you'd ask, I guess? Well, we already know about a bunch of them, but be sure, there's a bunch more and even the ones we already knew are more than what meets the eye.Emma Corrin as the villain Cassandra Nova is such a good addition to the movie and to the MCU as a whole. She is smart, strong, cold-blooded and also makes fun of our two leads.The action and the visuals are beyond amazing. There are some really, really creative scenes, where adamantium swords and claws create such a mayhem, that makes everything so bloody!The music choice is great and fun, at times could crack you so much. The opening scene is pure gold!Can't praise the movie enough, but """"Deadpool & Wolverine"""" is definitely in my top 5 cinema experiences, and you can easily guess the other ones. The whole theater was laughing, cheering and sobbing like a one person. What more could you ask for? Also, the movie got such a rewatchability factor, the length is perfect and be sure it will make tons of money! You can't possibly catch all the details in the first viewing for sure, but you will want to, so you'll go again and again... and again.What about the credit scene, you might ask? I kind of don't want to say anything about it because I don't want to spoil even the possible direction your thought is taking. Just stay for it, also during the credits there is something really beautiful. It's nowhere near """"fun filler"""", it's not """"Infinity War"""" level too, but it's a great movie, and it's one of MCU's finest!""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""So many Easter Eggs, so true to the comic characters, and may have possibly single handedly saved the MCU. Everything you'd expect from a deadpool movie plus. Haven't left a theatre so buzzy in a very long time. Rips to shreds the tedium of the last 5 years of the MCU and makes you think there may be life after Endgame after all. Cinematic feel was great, amazing soundtrack and I'll probably go back again over the weekend to watch again. So lucky in NZ to get these preview nights w to 3 days before the rest of the world see them. God bless you Mr's Levy, Reynolds and Jackman, a laugh a minute ride!""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"""I read an IGN review where the guy gave it a 7 because the story was poor.The guy really needs to read the room.You do not go to see Deadpool for a great, in-depth story which will make you think.You go to see Deadpool for fun, for obscene fight scenes, great jokes, bad jokes... Ridiculous deaths, sarcasms, obnoxious non PC comments and most importantly the most amazing music which brings it all together.And Deapool and Wolverine has that on every possible way.If you want to see this film, go to the cinema, don't wait for TV because you will miss one of the biggest and best watches to ever hit the big screen.""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""Went to an early midnight screening in a packed Imax. The whole theater was laughing and cheering throughout the movie. The story can be a little confusing, but it was fun all the way, I didn't feel bored even for a second. The action was very bloody and goofy, the jokes were hardcore and the movie is very meta. The one thing I especially liked is that there are actually emotional scene that aren't actually undercut with jokes, a thing that a lot of newer MCU movies tend to do. But this is still more of a Fox than a MCU movie. If you liked previous Deadpool movies you'll like this one too. Hugh Jackman is amazing as Wolverine and the cameos are really something special, especially because they're usually more that just that.It's a fan service, but who cares - it's a entertaining fun summer blockbuster that gives you what you've paid for.""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"""I saw this at an early fan screening and it was pure cinematic candy. I'm confident that it's the best movie of the summer!The whole audience was constantly either laughing, cheering or clapping. The jokes were hilarious and the cameos were amazing (and so many of them!). I won't spoil anything, but there were multiple cameos by characters you'll never see in any other movie, and I loved them. Fans of comic book movies will have a field day with all the references.It might be recency bias, but it's probably my favourite Deadpool movie (and I loved the first two). They definitely knew what the fans wanted (and what they didn't know they wanted) and gave it to them. Another hit from Shawn Levy.""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"""I feel i'm in the minority here but I can't bring myself to rate this film over a 6, which feels such a shame. The first 2 Deadpool's are some of my all time favourite films, they're easy to watch, fun, hilarious, plenty of heart. When the credits rolled for Deadpool and Wolverine I thought to myself, would I watch this again? Probably not and I can't put my finger on why this one just felt so off? I'm not taking anything away from the acting of Deadpool or Wolverine as both gave their all during this but the story completely let them down. I've seen people say """"oh it's Deadpool don't read into these films too much, just enjoy them"""" in a sense that's true but the first 2 films had a coherent story and plot which are very engaging. Watching 2 immortal beings consistently insult then fight each other 6/7 times throughout can get a bit repetitive and I felt that around halfway through. Where was Collusus? Megasonic? Dulpinder? I wish we had so much more of these guys but they had about 5 minute screen time throughout the whole film. The problem with this Multiverse BS is the lack of stakes, anything is possible where some things should have an end and plot armour becomes so stale. The cameos I honestly couldn't care for, Marvel need to stop shoe horning in old characters for the hope of making the audience giddy and focus on a compelling plot and story. I wanted to love this film as much as everyone else but I can't lie to myself. The acting was good (props to Cassandra, she was cool), some funny moments and some good action made it a solid 6. This film I kind of count as a stand-alone film and not a """"Deadpool 3"""", the first 2 in my opinion are much more enjoyable.""",Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
